nodeID,H,T,seizoen,methode
163,-5.139,50,geheel jaar,Gumbel fit
163,-5.139,100,geheel jaar,Gumbel fit
34,-5.613,10,geheel jaar,gewogen gemiddelde
34,-5.684,10,alleen zomer,gewogen gemiddelde
34,-5.688,10,alleen zomer,Gumbel fit
34,-5.594,10,geheel jaar,Gumbel fit
34,-5.547,25,geheel jaar,Gumbel fit
34,-5.511,50,geheel jaar,Gumbel fit
34,-5.476,100,geheel jaar,Gumbel fit
133,-5.581,10,geheel jaar,gewogen gemiddelde
133,-5.588,10,alleen zomer,gewogen gemiddelde
133,-5.61,10,alleen zomer,Gumbel fit
133,-5.578,10,geheel jaar,Gumbel fit
133,-5.532,25,geheel jaar,Gumbel fit
133,-5.497,50,geheel jaar,Gumbel fit
133,-5.462,100,geheel jaar,Gumbel fit
45,-5.678,10,geheel jaar,gewogen gemiddelde
45,-5.713,10,alleen zomer,gewogen gemiddelde
45,-5.726,10,alleen zomer,Gumbel fit
45,-5.648,10,geheel jaar,Gumbel fit
45,-5.593,25,geheel jaar,Gumbel fit
45,-5.55,50,geheel jaar,Gumbel fit
45,-5.508,100,geheel jaar,Gumbel fit
46,-5.678,10,geheel jaar,gewogen gemiddelde
46,-5.714,10,alleen zomer,gewogen gemiddelde
46,-5.726,10,alleen zomer,Gumbel fit
46,-5.648,10,geheel jaar,Gumbel fit
46,-5.593,25,geheel jaar,Gumbel fit
46,-5.551,50,geheel jaar,Gumbel fit
46,-5.508,100,geheel jaar,Gumbel fit
137,-5.677,10,geheel jaar,gewogen gemiddelde
137,-5.713,10,alleen zomer,gewogen gemiddelde
137,-5.726,10,alleen zomer,Gumbel fit
137,-5.648,10,geheel jaar,Gumbel fit
137,-5.592,25,geheel jaar,Gumbel fit
137,-5.55,50,geheel jaar,Gumbel fit
137,-5.508,100,geheel jaar,Gumbel fit
155,-5.684,10,geheel jaar,gewogen gemiddelde
155,-5.72,10,alleen zomer,gewogen gemiddelde
155,-5.733,10,alleen zomer,Gumbel fit
155,-5.654,10,geheel jaar,Gumbel fit
155,-5.597,25,geheel jaar,Gumbel fit
155,-5.554,50,geheel jaar,Gumbel fit
155,-5.511,100,geheel jaar,Gumbel fit
257,-5.644,10,geheel jaar,gewogen gemiddelde
257,-5.667,10,alleen zomer,gewogen gemiddelde
257,-5.681,10,alleen zomer,Gumbel fit
257,-5.622,10,geheel jaar,Gumbel fit
257,-5.573,25,geheel jaar,Gumbel fit
257,-5.536,50,geheel jaar,Gumbel fit
257,-5.5,100,geheel jaar,Gumbel fit
CFBerg_I_c,-3.041,10,geheel jaar,gewogen gemiddelde
CFBerg_I_c,-3.063,10,alleen zomer,gewogen gemiddelde
CFBerg_I_c,-3.062,10,alleen zomer,Gumbel fit
CFBerg_I_c,-3.031,10,geheel jaar,Gumbel fit
CFBerg_I_c,-3.009,25,geheel jaar,Gumbel fit
CFBerg_I_c,-2.993,50,geheel jaar,Gumbel fit
CFBerg_I_c,-2.977,100,geheel jaar,Gumbel fit
CFBerg_IV_h,-5.683,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_h,-5.719,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_h,-5.733,10,alleen zomer,Gumbel fit
CFBerg_IV_h,-5.653,10,geheel jaar,Gumbel fit
CFBerg_IV_h,-5.597,25,geheel jaar,Gumbel fit
CFBerg_IV_h,-5.554,50,geheel jaar,Gumbel fit
